@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
55,495,13,140,270,0.341463,0.974409,0.779528,0.974409,0.220472,0.866142,0.691721,1.408674,0.248571
56,495,13,139,271,0.339024,0.974409,0.780757,0.974409,0.219243,0.8669,0.690632,1.410896,0.25
57,495,13,138,272,0.336585,0.974409,0.781991,0.974409,0.218009,0.86766,0.689542,1.413125,0.26
58,495,13,133,277,0.32439,0.974409,0.788217,0.974409,0.211783,0.871479,0.684096,1.424376,0.262857
59,495,13,132,278,0.321951,0.974409,0.789474,0.974409,0.210526,0.872247,0.683007,1.426647,0.27
60,495,13,131,279,0.319512,0.974409,0.790735,0.974409,0.209265,0.873016,0.681917,1.428926,0.270571
61,495,13,130,280,0.317073,0.974409,0.792,0.974409,0.208,0.873786,0.680828,1.431213,0.28
62,495,13,127,283,0.309756,0.974409,0.79582,0.974409,0.20418,0.876106,0.67756,1.438116,0.284706
63,495,13,126,284,0.307317,0.974409,0.797101,0.974409,0.202899,0.876882,0.676471,1.440431,0.289597
64,495,13,125,285,0.304878,0.974409,0.798387,0.974409,0.201613,0.87766,0.675381,1.442755,0.29
65,495,13,123,287,0.3,0.974409,0.800971,0.974409,0.199029,0.879218,0.673203,1.447424,0.295
66,495,13,122,288,0.297561,0.974409,0.802269,0.974409,0.197731,0.88,0.672113,1.44977,0.3
67,494,14,122,288,0.297561,0.972441,0.801948,0.972441,0.198052,0.879004,0.671024,1.44919,0.30375
68,494,14,121,289,0.295122,0.972441,0.803252,0.972441,0.196748,0.879786,0.669935,1.451546,0.31
69,493,15,120,290,0.292683,0.970472,0.804241,0.970472,0.195759,0.879572,0.667756,1.453334,0.314
70,493,15,119,291,0.290244,0.970472,0.805556,0.970472,0.194444,0.880357,0.666667,1.455709,0.32
71,493,15,118,292,0.287805,0.970472,0.806874,0.970472,0.193126,0.881144,0.665577,1.458091,0.322
72,493,15,117,293,0.285366,0.970472,0.808197,0.970472,0.191803,0.881932,0.664488,1.460481,0.33
73,492,16,116,294,0.282927,0.968504,0.809211,0.968504,0.190789,0.88172,0.662309,1.462314,0.34
74,489,19,113,297,0.27561,0.962598,0.812292,0.962598,0.187708,0.881081,0.655773,1.467883,0.35
75,489,19,109,301,0.265854,0.962598,0.817726,0.962598,0.182274,0.884268,0.651416,1.477701,0.358889
76,489,19,108,302,0.263415,0.962598,0.819095,0.962598,0.180905,0.885068,0.650327,1.480176,0.359095
77,489,19,107,303,0.260976,0.962598,0.82047,0.962598,0.17953,0.88587,0.649237,1.48266,0.36
78,488,20,107,303,0.260976,0.96063,0.820168,0.96063,0.179832,0.884859,0.648148,1.482115,0.365833
79,487,21,107,303,0.260976,0.958661,0.819865,0.958661,0.180135,0.883848,0.647059,1.481568,0.37
80,486,22,105,305,0.256098,0.956693,0.822335,0.956693,0.177665,0.88444,0.643791,1.486031,0.378132
81,486,22,104,306,0.253659,0.956693,0.823729,0.956693,0.176271,0.885246,0.642702,1.488549,0.38
82,486,22,102,308,0.24878,0.956693,0.826531,0.956693,0.173469,0.886861,0.640523,1.493612,0.381667
83,486,22,101,309,0.246341,0.956693,0.827939,0.956693,0.172061,0.887671,0.639434,1.496157,0.39
84,485,23,100,310,0.243902,0.954724,0.82906,0.954724,0.17094,0.887466,0.637255,1.498183,0.4
85,484,24,98,312,0.239024,0.952756,0.831615,0.952756,0.168385,0.888073,0.633987,1.502801,0.401111
86,484,24,97,313,0.236585,0.952756,0.833046,0.952756,0.166954,0.888889,0.632898,1.505387,0.41
87,479,29,96,314,0.234146,0.942913,0.833043,0.942913,0.166957,0.88458,0.626362,1.505382,0.41481
88,478,30,96,314,0.234146,0.940945,0.832753,0.940945,0.167247,0.883549,0.625272,1.504856,0.42
89,476,32,95,315,0.231707,0.937008,0.833625,0.937008,0.166375,0.882298,0.622004,1.506433,0.42125
90,476,32,94,316,0.229268,0.937008,0.835088,0.937008,0.164912,0.883117,0.620915,1.509076,0.425
91,476,32,93,317,0.226829,0.937008,0.836555,0.937008,0.163445,0.883937,0.619826,1.511728,0.42875
92,476,32,92,318,0.22439,0.937008,0.838028,0.937008,0.161972,0.884758,0.618736,1.514389,0.43
93,474,34,91,319,0.221951,0.933071,0.838938,0.933071,0.161062,0.883504,0.615468,1.516034,0.435833
94,474,34,90,320,0.219512,0.933071,0.840426,0.933071,0.159574,0.884328,0.614379,1.518722,0.438627
95,474,34,89,321,0.217073,0.933071,0.841918,0.933071,0.158082,0.885154,0.61329,1.521419,0.44
96,474,34,85,325,0.207317,0.933071,0.847943,0.933071,0.152057,0.888472,0.608932,1.532306,0.44706
97,473,35,85,325,0.207317,0.931102,0.84767,0.931102,0.15233,0.88743,0.607843,1.531814,0.452222
