@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
238,233,275,16,394,0.039024,0.458661,0.935743,0.458661,0.064257,0.615588,0.271242,1.690969,0.890031
239,232,276,16,394,0.039024,0.456693,0.935484,0.456693,0.064516,0.613757,0.270153,1.6905,0.892139
240,231,277,16,394,0.039024,0.454724,0.935223,0.454724,0.064777,0.611921,0.269063,1.690028,0.893872
241,231,277,15,395,0.036585,0.454724,0.939024,0.454724,0.060976,0.612732,0.267974,1.696898,0.895758
242,230,278,15,395,0.036585,0.452756,0.938776,0.452756,0.061224,0.61089,0.266885,1.696449,0.896667
243,228,280,15,395,0.036585,0.448819,0.938272,0.448819,0.061728,0.60719,0.264706,1.695538,0.9
244,214,294,15,395,0.036585,0.42126,0.934498,0.42126,0.065502,0.580733,0.249455,1.688718,0.903556
245,213,295,15,395,0.036585,0.419291,0.934211,0.419291,0.065789,0.578804,0.248366,1.688199,0.906957
246,213,295,14,396,0.034146,0.419291,0.938326,0.419291,0.061674,0.579592,0.247277,1.695636,0.91
247,201,307,13,397,0.031707,0.395669,0.939252,0.395669,0.060748,0.556787,0.233115,1.69731,0.915
248,200,308,13,397,0.031707,0.393701,0.938967,0.393701,0.061033,0.554785,0.232026,1.696795,0.92
249,185,323,12,398,0.029268,0.364173,0.939086,0.364173,0.060914,0.524823,0.214597,1.69701,0.923333
250,184,324,12,398,0.029268,0.362205,0.938776,0.362205,0.061224,0.522727,0.213508,1.696449,0.928
251,183,325,12,398,0.029268,0.360236,0.938462,0.360236,0.061538,0.520626,0.212418,1.695881,0.93
252,168,340,11,399,0.026829,0.330709,0.938547,0.330709,0.061453,0.489083,0.194989,1.696037,0.934286
253,167,341,11,399,0.026829,0.32874,0.938202,0.32874,0.061798,0.48688,0.1939,1.695413,0.934333
254,166,342,11,399,0.026829,0.326772,0.937853,0.326772,0.062147,0.484672,0.19281,1.694782,0.935476
255,165,343,11,399,0.026829,0.324803,0.9375,0.324803,0.0625,0.482456,0.191721,1.694144,0.938571
256,164,344,11,399,0.026829,0.322835,0.937143,0.322835,0.062857,0.480234,0.190632,1.693498,0.938824
257,163,345,11,399,0.026829,0.320866,0.936782,0.320866,0.063218,0.478006,0.189542,1.692846,0.94
258,147,361,10,400,0.02439,0.28937,0.936306,0.28937,0.063694,0.442105,0.171024,1.691986,0.944556
259,146,362,10,400,0.02439,0.287402,0.935897,0.287402,0.064103,0.439759,0.169935,1.691248,0.946667
260,145,363,10,400,0.02439,0.285433,0.935484,0.285433,0.064516,0.437406,0.168845,1.6905,0.947268
261,145,363,9,401,0.021951,0.285433,0.941558,0.285433,0.058442,0.438066,0.167756,1.701478,0.95
262,128,380,7,403,0.017073,0.251969,0.948148,0.251969,0.051852,0.398134,0.147059,1.713386,0.956667
263,127,381,7,403,0.017073,0.25,0.947761,0.25,0.052239,0.395639,0.145969,1.712687,0.958684
264,126,382,7,403,0.017073,0.248031,0.947368,0.248031,0.052632,0.393136,0.14488,1.711977,0.96
265,105,403,6,404,0.014634,0.206693,0.945946,0.206693,0.054054,0.339257,0.120915,1.709406,0.964332
266,104,404,6,404,0.014634,0.204724,0.945455,0.204724,0.054545,0.33657,0.119826,1.708518,0.966667
267,103,405,6,404,0.014634,0.202756,0.944954,0.202756,0.055046,0.333874,0.118736,1.707614,0.97
268,79,429,6,404,0.014634,0.155512,0.929412,0.155512,0.070588,0.266442,0.092593,1.679528,0.970707
269,78,430,6,404,0.014634,0.153543,0.928571,0.153543,0.071429,0.263514,0.091503,1.678009,0.973333
270,77,431,6,404,0.014634,0.151575,0.927711,0.151575,0.072289,0.260575,0.090414,1.676454,0.97375
271,76,432,6,404,0.014634,0.149606,0.926829,0.149606,0.073171,0.257627,0.089325,1.674861,0.97875
272,75,433,6,404,0.014634,0.147638,0.925926,0.147638,0.074074,0.254669,0.088235,1.673228,0.98
273,51,457,4,406,0.009756,0.100394,0.927273,0.100394,0.072727,0.181172,0.059913,1.675662,0.982582
274,50,458,4,406,0.009756,0.098425,0.925926,0.098425,0.074074,0.177936,0.058824,1.673228,0.986667
275,49,459,4,406,0.009756,0.096457,0.924528,0.096457,0.075472,0.174688,0.057734,1.670703,0.99
276,24,484,1,409,0.002439,0.047244,0.96,0.047244,0.04,0.090056,0.027233,1.734803,0.995
277,23,485,1,409,0.002439,0.045276,0.958333,0.045276,0.041667,0.086466,0.026144,1.731791,1
278,0,508,0,410,0,0,?,0,?,?,0,?,1.00001
