@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
55,378,32,164,344,0.322835,0.921951,0.697417,0.921951,0.302583,0.794118,0.590414,1.561534,0.142381
56,378,32,163,345,0.320866,0.921951,0.698706,0.921951,0.301294,0.794953,0.589325,1.56442,0.146783
57,378,32,162,346,0.318898,0.921951,0.7,0.921951,0.3,0.795789,0.588235,1.567317,0.1475
58,378,32,161,347,0.316929,0.921951,0.701299,0.921951,0.298701,0.796628,0.587146,1.570225,0.148
59,378,32,160,348,0.314961,0.921951,0.702602,0.921951,0.297398,0.797468,0.586057,1.573144,0.15
60,378,32,156,352,0.307087,0.921951,0.707865,0.921951,0.292135,0.800847,0.581699,1.584927,0.150294
61,378,32,155,353,0.305118,0.921951,0.709193,0.921951,0.290807,0.801697,0.58061,1.587901,0.153333
62,378,32,154,354,0.30315,0.921951,0.710526,0.921951,0.289474,0.802548,0.579521,1.590886,0.154462
63,377,33,154,354,0.30315,0.919512,0.709981,0.919512,0.290019,0.801275,0.578431,1.589665,0.16
64,376,34,147,361,0.28937,0.917073,0.718929,0.917073,0.281071,0.806002,0.569717,1.6097,0.161938
65,376,34,146,362,0.287402,0.917073,0.720307,0.917073,0.279693,0.806867,0.568627,1.612784,0.1625
66,376,34,145,363,0.285433,0.917073,0.721689,0.917073,0.278311,0.807734,0.567538,1.615879,0.163333
67,375,35,145,363,0.285433,0.914634,0.721154,0.914634,0.278846,0.806452,0.566449,1.614681,0.164667
68,375,35,144,364,0.283465,0.914634,0.722543,0.914634,0.277457,0.80732,0.565359,1.617792,0.1675
69,375,35,142,366,0.279528,0.914634,0.725338,0.914634,0.274662,0.809061,0.563181,1.624051,0.17
70,375,35,136,372,0.267717,0.914634,0.733855,0.914634,0.266145,0.814332,0.556645,1.64312,0.170366
71,375,35,135,373,0.265748,0.914634,0.735294,0.914634,0.264706,0.815217,0.555556,1.646341,0.171111
72,374,36,135,373,0.265748,0.912195,0.734774,0.912195,0.265226,0.813928,0.554466,1.645177,0.173333
73,373,37,135,373,0.265748,0.909756,0.734252,0.909756,0.265748,0.812636,0.553377,1.644008,0.178
74,373,37,134,374,0.26378,0.909756,0.7357,0.909756,0.2643,0.813522,0.552288,1.647251,0.18
75,371,39,130,378,0.255906,0.904878,0.740519,0.904878,0.259481,0.81449,0.545752,1.65804,0.181
76,371,39,129,379,0.253937,0.904878,0.742,0.904878,0.258,0.815385,0.544662,1.661356,0.184733
77,371,39,128,380,0.251969,0.904878,0.743487,0.904878,0.256513,0.816282,0.543573,1.664685,0.19
78,370,40,119,389,0.234252,0.902439,0.756646,0.902439,0.243354,0.823137,0.53268,1.694149,0.1932
79,370,40,118,390,0.232283,0.902439,0.758197,0.902439,0.241803,0.824053,0.53159,1.697621,0.2
80,370,40,113,395,0.222441,0.902439,0.766046,0.902439,0.233954,0.828667,0.526144,1.715195,0.204117
81,370,40,112,396,0.220472,0.902439,0.767635,0.902439,0.232365,0.829596,0.525054,1.718753,0.208182
82,370,40,111,397,0.218504,0.902439,0.769231,0.902439,0.230769,0.830527,0.523965,1.722326,0.21
83,370,40,106,402,0.208661,0.902439,0.777311,0.902439,0.222689,0.835214,0.518519,1.740418,0.210485
84,370,40,105,403,0.206693,0.902439,0.778947,0.902439,0.221053,0.836158,0.517429,1.744082,0.211429
85,370,40,104,404,0.204724,0.902439,0.780591,0.902439,0.219409,0.837104,0.51634,1.747762,0.212857
86,369,41,104,404,0.204724,0.9,0.780127,0.9,0.219873,0.835787,0.515251,1.746723,0.215714
87,369,41,103,405,0.202756,0.9,0.78178,0.9,0.21822,0.836735,0.514161,1.750424,0.22
88,369,41,99,409,0.194882,0.9,0.788462,0.9,0.211538,0.840547,0.509804,1.765385,0.222241
89,369,41,98,410,0.192913,0.9,0.79015,0.9,0.20985,0.841505,0.508715,1.769165,0.225
90,368,42,97,411,0.190945,0.897561,0.791398,0.897561,0.208602,0.841143,0.506536,1.771959,0.226317
91,368,42,96,412,0.188976,0.897561,0.793103,0.897561,0.206897,0.842105,0.505447,1.775778,0.228222
92,367,43,96,412,0.188976,0.895122,0.792657,0.895122,0.207343,0.840779,0.504357,1.774777,0.23
93,366,44,94,414,0.185039,0.892683,0.795652,0.892683,0.204348,0.841379,0.501089,1.781485,0.2375
94,366,44,93,415,0.183071,0.892683,0.797386,0.892683,0.202614,0.842348,0.5,1.785366,0.24
95,363,47,88,420,0.173228,0.885366,0.804878,0.885366,0.195122,0.843206,0.491285,1.802142,0.2405
96,363,47,87,421,0.17126,0.885366,0.806667,0.885366,0.193333,0.844186,0.490196,1.806146,0.24125
97,362,48,87,421,0.17126,0.882927,0.806236,0.882927,0.193764,0.842841,0.489107,1.805182,0.25
98,361,49,83,425,0.163386,0.880488,0.813063,0.880488,0.186937,0.845433,0.48366,1.820468,0.26
